split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,0.9831,1.0,396000
1,cut,-0.8389,0.0,9000
1,cut,-0.8389,0.0,9000
1,within_long_d1,0.9934,1.0,88
1,within_long_d2,0.9881,1.0,86
1,within_long_d3,0.987,1.0,84
1,within_long_d4,0.9865,1.0,82
1,within_long_d5,0.9859,1.0,80
1,within_long_d6,0.9853,1.0,78
1,within_long_d7,0.9849,1.0,76
1,within_long_d8,0.9846,1.0,74
1,within_long_d9,0.9843,1.0,72
1,within_long_d10,0.9839,1.0,70
1,within_long_d11,0.9836,1.0,68
1,within_long_d12,0.9835,1.0,66
1,within_long_d13,0.9833,1.0,64
1,within_long_d14,0.9829,1.0,62
1,within_long_d15,0.9829,1.0,60
1,within_long_d16,0.9848,1.0,58
1,within_long_d17,0.9874,1.0,56
1,within_long_d18,0.9841,1.0,54
1,within_long_d19,0.9772,1.0,52
1,within_long_d20,0.9774,1.0,50
1,within_long_d21,0.9775,1.0,48
1,within_long_d22,0.9777,1.0,46
1,within_long_d23,0.9779,1.0,44
1,within_long_d24,0.9782,1.0,42
1,within_long_d25,0.9784,1.0,40
1,within_long_d26,0.9788,1.0,38
1,within_long_d27,0.9791,1.0,36
1,within_long_d28,0.9795,1.0,34
1,within_long_d29,0.9799,1.0,32
1,within_long_d30,0.9804,1.0,30
1,within_long_d31,0.9806,1.0,28
1,within_long_d32,0.9805,1.0,26
1,within_long_d33,0.9802,1.0,24
1,within_long_d34,0.98,1.0,22
1,within_long_d35,0.9796,1.0,20
1,within_long_d36,0.9791,1.0,18
1,within_long_d37,0.9788,1.0,16
1,within_long_d38,0.9787,1.0,14
1,within_long_d39,0.9786,1.0,12
1,within_long_d40,0.9788,1.0,10
1,within_long_d41,0.9784,1.0,8
1,within_long_d42,0.9772,1.0,6
1,within_long_d43,0.9764,1.0,4
1,within_long_d44,0.975,1.0,2
2,within_long,0.6329,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-0.4073,0.0,17600
2,cut,-0.4073,0.0,17600
2,within_long_d1,0.85,1.0,86
2,within_long_d2,0.7276,1.0,84
2,within_long_d3,0.6994,1.0,82
2,within_long_d4,0.6891,1.0,80
2,within_long_d5,0.6804,1.0,78
2,within_long_d6,0.6705,1.0,76
2,within_long_d7,0.6624,1.0,74
2,within_long_d8,0.6567,1.0,72
2,within_long_d9,0.6534,1.0,70
2,within_long_d10,0.6504,1.0,68
