cell,k,small_size,metric,distance,value,n_pairs
k5_s2,5,2,reach_long_by_dist,1,1.0,62
k5_s2,5,2,reach_long_by_dist,2,1.0,60
k5_s2,5,2,reach_long_by_dist,3,1.0,58
k5_s2,5,2,reach_long_by_dist,4,1.0,56
k5_s2,5,2,reach_long_by_dist,5,1.0,54
k5_s2,5,2,reach_long_by_dist,6,1.0,52
k5_s2,5,2,reach_long_by_dist,7,1.0,50
k5_s2,5,2,reach_long_by_dist,8,1.0,48
k5_s2,5,2,reach_long_by_dist,9,1.0,46
k5_s2,5,2,reach_long_by_dist,10,1.0,44
k5_s2,5,2,reach_long_by_dist,11,1.0,42
k5_s2,5,2,reach_long_by_dist,12,1.0,40
k5_s2,5,2,reach_long_by_dist,13,1.0,38
k5_s2,5,2,reach_long_by_dist,14,1.0,36
k5_s2,5,2,reach_long_by_dist,15,1.0,34
k5_s2,5,2,reach_long_by_dist,16,1.0,32
k5_s2,5,2,reach_long_by_dist,17,1.0,30
k5_s2,5,2,reach_long_by_dist,18,1.0,28
k5_s2,5,2,reach_long_by_dist,19,1.0,26
k5_s2,5,2,reach_long_by_dist,20,1.0,24
k5_s2,5,2,reach_long_by_dist,21,1.0,22
k5_s2,5,2,reach_long_by_dist,22,1.0,20
k5_s2,5,2,reach_long_by_dist,23,1.0,18
k5_s2,5,2,reach_long_by_dist,24,1.0,16
k5_s2,5,2,reach_long_by_dist,25,1.0,14
k5_s2,5,2,reach_long_by_dist,26,1.0,12
k5_s2,5,2,reach_long_by_dist,27,1.0,10
k5_s2,5,2,reach_long_by_dist,28,1.0,8
k5_s2,5,2,reach_long_by_dist,29,1.0,6
k5_s2,5,2,reach_long_by_dist,30,1.0,4
k5_s2,5,2,reach_long_by_dist,31,1.0,2
k5_s2,5,2,exact,,0.675,
k5_s2,5,2,reach_long,,1.0,
k5_s2,5,2,reach_short,,0.9229,
k5_s2,5,2,cut,,1.0,
k5_s2,5,2,pred_positive_rate,,0.6527,
k5_s3,5,3,reach_long_by_dist,1,1.0,54
k5_s3,5,3,reach_long_by_dist,2,1.0,52
k5_s3,5,3,reach_long_by_dist,3,1.0,50
k5_s3,5,3,reach_long_by_dist,4,1.0,48
k5_s3,5,3,reach_long_by_dist,5,1.0,46
k5_s3,5,3,reach_long_by_dist,6,1.0,44
k5_s3,5,3,reach_long_by_dist,7,1.0,42
k5_s3,5,3,reach_long_by_dist,8,1.0,40
k5_s3,5,3,reach_long_by_dist,9,1.0,38
k5_s3,5,3,reach_long_by_dist,10,1.0,36
k5_s3,5,3,reach_long_by_dist,11,1.0,34
k5_s3,5,3,reach_long_by_dist,12,1.0,32
k5_s3,5,3,reach_long_by_dist,13,1.0,30
k5_s3,5,3,reach_long_by_dist,14,1.0,28
k5_s3,5,3,reach_long_by_dist,15,1.0,26
k5_s3,5,3,reach_long_by_dist,16,1.0,24
k5_s3,5,3,reach_long_by_dist,17,1.0,22
k5_s3,5,3,reach_long_by_dist,18,1.0,20
k5_s3,5,3,reach_long_by_dist,19,1.0,18
k5_s3,5,3,reach_long_by_dist,20,1.0,16
k5_s3,5,3,reach_long_by_dist,21,1.0,14
k5_s3,5,3,reach_long_by_dist,22,1.0,12
k5_s3,5,3,reach_long_by_dist,23,1.0,10
k5_s3,5,3,reach_long_by_dist,24,1.0,8
k5_s3,5,3,reach_long_by_dist,25,1.0,6
k5_s3,5,3,reach_long_by_dist,26,1.0,4
k5_s3,5,3,reach_long_by_dist,27,1.0,2
k5_s3,5,3,exact,,0.32,
k5_s3,5,3,reach_long,,1.0,
k5_s3,5,3,reach_short,,0.8799,
k5_s3,5,3,cut,,1.0,
k5_s3,5,3,pred_positive_rate,,0.5224,
k5_s4,5,4,reach_long_by_dist,1,1.0,46
k5_s4,5,4,reach_long_by_dist,2,1.0,44
k5_s4,5,4,reach_long_by_dist,3,1.0,42
k5_s4,5,4,reach_long_by_dist,4,1.0,40
k5_s4,5,4,reach_long_by_dist,5,1.0,38
k5_s4,5,4,reach_long_by_dist,6,1.0,36
k5_s4,5,4,reach_long_by_dist,7,1.0,34
k5_s4,5,4,reach_long_by_dist,8,1.0,32
k5_s4,5,4,reach_long_by_dist,9,1.0,30
k5_s4,5,4,reach_long_by_dist,10,1.0,28
k5_s4,5,4,reach_long_by_dist,11,1.0,26
k5_s4,5,4,reach_long_by_dist,12,1.0,24
k5_s4,5,4,reach_long_by_dist,13,1.0,22
k5_s4,5,4,reach_long_by_dist,14,1.0,20
k5_s4,5,4,reach_long_by_dist,15,1.0,18
k5_s4,5,4,reach_long_by_dist,16,1.0,16
k5_s4,5,4,reach_long_by_dist,17,1.0,14
k5_s4,5,4,reach_long_by_dist,18,1.0,12
k5_s4,5,4,reach_long_by_dist,19,1.0,10
k5_s4,5,4,reach_long_by_dist,20,1.0,8
k5_s4,5,4,reach_long_by_dist,21,1.0,6
k5_s4,5,4,reach_long_by_dist,22,1.0,4
k5_s4,5,4,reach_long_by_dist,23,1.0,2
k5_s4,5,4,exact,,0.65,
k5_s4,5,4,reach_long,,1.0,
k5_s4,5,4,reach_short,,0.9861,
k5_s4,5,4,cut,,1.0,
k5_s4,5,4,pred_positive_rate,,0.4021,
k5_s5,5,5,reach_long_by_dist,1,1.0,38
k5_s5,5,5,reach_long_by_dist,2,1.0,36
k5_s5,5,5,reach_long_by_dist,3,1.0,34
k5_s5,5,5,reach_long_by_dist,4,1.0,32
k5_s5,5,5,reach_long_by_dist,5,1.0,30
k5_s5,5,5,reach_long_by_dist,6,1.0,28
k5_s5,5,5,reach_long_by_dist,7,1.0,26
k5_s5,5,5,reach_long_by_dist,8,1.0,24
k5_s5,5,5,reach_long_by_dist,9,1.0,22
k5_s5,5,5,reach_long_by_dist,10,1.0,20
k5_s5,5,5,reach_long_by_dist,11,1.0,18
k5_s5,5,5,reach_long_by_dist,12,1.0,16
k5_s5,5,5,reach_long_by_dist,13,1.0,14
k5_s5,5,5,reach_long_by_dist,14,1.0,12
k5_s5,5,5,reach_long_by_dist,15,1.0,10
k5_s5,5,5,reach_long_by_dist,16,1.0,8
k5_s5,5,5,reach_long_by_dist,17,1.0,6
k5_s5,5,5,reach_long_by_dist,18,1.0,4
k5_s5,5,5,reach_long_by_dist,19,1.0,2
k5_s5,5,5,exact,,0.605,
k5_s5,5,5,reach_long,,1.0,
k5_s5,5,5,reach_short,,0.9889,
k5_s5,5,5,cut,,1.0,
k5_s5,5,5,pred_positive_rate,,0.3151,
k6_s2,6,2,reach_long_by_dist,1,1.0,58
k6_s2,6,2,reach_long_by_dist,2,1.0,56
k6_s2,6,2,reach_long_by_dist,3,1.0,54
k6_s2,6,2,reach_long_by_dist,4,1.0,52
k6_s2,6,2,reach_long_by_dist,5,1.0,50
k6_s2,6,2,reach_long_by_dist,6,1.0,48
k6_s2,6,2,reach_long_by_dist,7,1.0,46
k6_s2,6,2,reach_long_by_dist,8,1.0,44
k6_s2,6,2,reach_long_by_dist,9,1.0,42
k6_s2,6,2,reach_long_by_dist,10,1.0,40
k6_s2,6,2,reach_long_by_dist,11,1.0,38
k6_s2,6,2,reach_long_by_dist,12,1.0,36
k6_s2,6,2,reach_long_by_dist,13,1.0,34
k6_s2,6,2,reach_long_by_dist,14,1.0,32
k6_s2,6,2,reach_long_by_dist,15,1.0,30
k6_s2,6,2,reach_long_by_dist,16,1.0,28
k6_s2,6,2,reach_long_by_dist,17,1.0,26
k6_s2,6,2,reach_long_by_dist,18,1.0,24
k6_s2,6,2,reach_long_by_dist,19,1.0,22
k6_s2,6,2,reach_long_by_dist,20,1.0,20
k6_s2,6,2,reach_long_by_dist,21,1.0,18
k6_s2,6,2,reach_long_by_dist,22,1.0,16
k6_s2,6,2,reach_long_by_dist,23,1.0,14
k6_s2,6,2,reach_long_by_dist,24,1.0,12
k6_s2,6,2,reach_long_by_dist,25,1.0,10
k6_s2,6,2,reach_long_by_dist,26,1.0,8
k6_s2,6,2,reach_long_by_dist,27,1.0,6
k6_s2,6,2,reach_long_by_dist,28,1.0,4
k6_s2,6,2,reach_long_by_dist,29,1.0,2
k6_s2,6,2,exact,,0.0,
k6_s2,6,2,reach_long,,1.0,
k6_s2,6,2,reach_short,,0.1111,
k6_s2,6,2,cut,,1.0,
k6_s2,6,2,pred_positive_rate,,0.625,
k6_s3,6,3,reach_long_by_dist,1,1.0,48
k6_s3,6,3,reach_long_by_dist,2,1.0,46
k6_s3,6,3,reach_long_by_dist,3,1.0,44
k6_s3,6,3,reach_long_by_dist,4,1.0,42
k6_s3,6,3,reach_long_by_dist,5,1.0,40
k6_s3,6,3,reach_long_by_dist,6,1.0,38
k6_s3,6,3,reach_long_by_dist,7,1.0,36
k6_s3,6,3,reach_long_by_dist,8,1.0,34
k6_s3,6,3,reach_long_by_dist,9,1.0,32
k6_s3,6,3,reach_long_by_dist,10,1.0,30
k6_s3,6,3,reach_long_by_dist,11,1.0,28
k6_s3,6,3,reach_long_by_dist,12,1.0,26
k6_s3,6,3,reach_long_by_dist,13,1.0,24
k6_s3,6,3,reach_long_by_dist,14,1.0,22
k6_s3,6,3,reach_long_by_dist,15,1.0,20
k6_s3,6,3,reach_long_by_dist,16,1.0,18
k6_s3,6,3,reach_long_by_dist,17,1.0,16
k6_s3,6,3,reach_long_by_dist,18,1.0,14
k6_s3,6,3,reach_long_by_dist,19,1.0,12
k6_s3,6,3,reach_long_by_dist,20,1.0,10
k6_s3,6,3,reach_long_by_dist,21,1.0,8
k6_s3,6,3,reach_long_by_dist,22,1.0,6
k6_s3,6,3,reach_long_by_dist,23,1.0,4
k6_s3,6,3,reach_long_by_dist,24,1.0,2
k6_s3,6,3,exact,,0.0,
k6_s3,6,3,reach_long,,1.0,
k6_s3,6,3,reach_short,,0.2313,
k6_s3,6,3,cut,,1.0,
k6_s3,6,3,pred_positive_rate,,0.5196,
k6_s4,6,4,reach_long_by_dist,1,1.0,38
k6_s4,6,4,reach_long_by_dist,2,1.0,36
k6_s4,6,4,reach_long_by_dist,3,1.0,34
k6_s4,6,4,reach_long_by_dist,4,1.0,32
k6_s4,6,4,reach_long_by_dist,5,1.0,30
k6_s4,6,4,reach_long_by_dist,6,1.0,28
k6_s4,6,4,reach_long_by_dist,7,1.0,26
k6_s4,6,4,reach_long_by_dist,8,1.0,24
k6_s4,6,4,reach_long_by_dist,9,1.0,22
k6_s4,6,4,reach_long_by_dist,10,1.0,20
k6_s4,6,4,reach_long_by_dist,11,1.0,18
k6_s4,6,4,reach_long_by_dist,12,1.0,16
k6_s4,6,4,reach_long_by_dist,13,1.0,14
k6_s4,6,4,reach_long_by_dist,14,1.0,12
k6_s4,6,4,reach_long_by_dist,15,1.0,10
k6_s4,6,4,reach_long_by_dist,16,1.0,8
k6_s4,6,4,reach_long_by_dist,17,1.0,6
k6_s4,6,4,reach_long_by_dist,18,1.0,4
k6_s4,6,4,reach_long_by_dist,19,1.0,2
k6_s4,6,4,exact,,0.0,
k6_s4,6,4,reach_long,,1.0,
k6_s4,6,4,reach_short,,0.7875,
k6_s4,6,4,cut,,0.9976,
k6_s4,6,4,pred_positive_rate,,0.3517,
k7_s2,7,2,reach_long_by_dist,1,1.0,54
k7_s2,7,2,reach_long_by_dist,2,1.0,52
k7_s2,7,2,reach_long_by_dist,3,1.0,50
k7_s2,7,2,reach_long_by_dist,4,1.0,48
k7_s2,7,2,reach_long_by_dist,5,1.0,46
k7_s2,7,2,reach_long_by_dist,6,1.0,44
k7_s2,7,2,reach_long_by_dist,7,1.0,42
k7_s2,7,2,reach_long_by_dist,8,1.0,40
k7_s2,7,2,reach_long_by_dist,9,1.0,38
k7_s2,7,2,reach_long_by_dist,10,1.0,36
k7_s2,7,2,reach_long_by_dist,11,1.0,34
k7_s2,7,2,reach_long_by_dist,12,1.0,32
k7_s2,7,2,reach_long_by_dist,13,1.0,30
k7_s2,7,2,reach_long_by_dist,14,1.0,28
k7_s2,7,2,reach_long_by_dist,15,1.0,26
k7_s2,7,2,reach_long_by_dist,16,1.0,24
k7_s2,7,2,reach_long_by_dist,17,1.0,22
k7_s2,7,2,reach_long_by_dist,18,1.0,20
k7_s2,7,2,reach_long_by_dist,19,1.0,18
k7_s2,7,2,reach_long_by_dist,20,1.0,16
k7_s2,7,2,reach_long_by_dist,21,1.0,14
k7_s2,7,2,reach_long_by_dist,22,1.0,12
k7_s2,7,2,reach_long_by_dist,23,1.0,10
k7_s2,7,2,reach_long_by_dist,24,1.0,8
k7_s2,7,2,reach_long_by_dist,25,1.0,6
k7_s2,7,2,reach_long_by_dist,26,1.0,4
k7_s2,7,2,reach_long_by_dist,27,1.0,2
k7_s2,7,2,exact,,0.0,
k7_s2,7,2,reach_long,,1.0,
k7_s2,7,2,reach_short,,0.0909,
k7_s2,7,2,cut,,1.0,
k7_s2,7,2,pred_positive_rate,,0.58,
k7_s3,7,3,reach_long_by_dist,1,1.0,42
k7_s3,7,3,reach_long_by_dist,2,1.0,40
k7_s3,7,3,reach_long_by_dist,3,1.0,38
k7_s3,7,3,reach_long_by_dist,4,1.0,36
k7_s3,7,3,reach_long_by_dist,5,1.0,34
k7_s3,7,3,reach_long_by_dist,6,1.0,32
k7_s3,7,3,reach_long_by_dist,7,1.0,30
k7_s3,7,3,reach_long_by_dist,8,1.0,28
k7_s3,7,3,reach_long_by_dist,9,1.0,26
k7_s3,7,3,reach_long_by_dist,10,1.0,24
k7_s3,7,3,reach_long_by_dist,11,1.0,22
k7_s3,7,3,reach_long_by_dist,12,1.0,20
k7_s3,7,3,reach_long_by_dist,13,1.0,18
k7_s3,7,3,reach_long_by_dist,14,1.0,16
k7_s3,7,3,reach_long_by_dist,15,1.0,14
k7_s3,7,3,reach_long_by_dist,16,1.0,12
k7_s3,7,3,reach_long_by_dist,17,1.0,10
k7_s3,7,3,reach_long_by_dist,18,1.0,8
k7_s3,7,3,reach_long_by_dist,19,1.0,6
k7_s3,7,3,reach_long_by_dist,20,1.0,4
k7_s3,7,3,reach_long_by_dist,21,1.0,2
k7_s3,7,3,exact,,0.0,
k7_s3,7,3,reach_long,,1.0,
k7_s3,7,3,reach_short,,0.1176,
k7_s3,7,3,cut,,0.9988,
k7_s3,7,3,pred_positive_rate,,0.5056,
